Ημερομηνία	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας	Απασχολούμενοι	Άνεργοι	Μη ενεργοί	Ποσοστό ανεργίας
Ιανουάριος 2009	4,535.8	484.9	3,433.8	9.7	4,563.8	455.7	3,434.9	9.1
Φεβρουάριος 2009	4,531.2	470.1	3,449.0	9.4	4,572.0	454.0	3,424.4	9.0
Μάρτιος 2009	4,535.5	475.1	3,435.8	9.5	4,570.1	455.3	3,420.9	9.1
Απρίλιος 2009	4,523.1	486.9	3,432.7	9.7	4,539.2	462.4	3,441.1	9.2
Μάιος 2009	4,589.6	435.5	3,413.0	8.7	4,568.9	464.3	3,405.0	9.2
Ιούνιος 2009	4,607.0	444.4	3,382.9	8.8	4,554.1	474.9	3,405.4	9.4
Ιούλιος 2009	4,527.5	494.3	3,408.8	9.8	4,516.7	487.5	3,426.4	9.7
Αύγουστος 2009	4,592.7	467.1	3,366.6	9.2	4,552.5	492.3	3,381.6	9.8
Σεπτέμβριος 2009	4,604.9	472.4	3,345.2	9.3	4,564.3	505.7	3,352.6	10.0
Οκτώβριος 2009	4,533.5	510.2	3,374.9	10.1	4,514.7	512.6	3,391.3	10.2
Νοέμβριος 2009	4,483.1	549.9	3,381.8	10.9	4,498.5	529.4	3,386.9	10.5
Δεκέμβριος 2009	4,478.7	525.7	3,406.5	10.5	4,533.6	535.7	3,341.5	10.6
Ιανουάριος 2010	4,461.7	583.3	3,360.2	11.6	4,486.2	556.7	3,362.6	11.0
Φεβρουάριος 2010	4,412.9	622.4	3,363.1	12.4	4,449.6	574.7	3,374.1	11.4
Μάρτιος 2010	4,432.1	594.9	3,364.4	11.8	4,485.7	586.2	3,319.5	11.6
Απρίλιος 2010	4,416.5	611.5	3,356.3	12.2	4,414.7	599.8	3,369.8	12.0
Μάιος 2010	4,429.9	613.3	3,334.3	12.2	4,400.8	616.0	3,360.6	12.3
Ιούνιος 2010	4,428.2	589.0	3,353.3	11.7	4,405.5	627.3	3,337.7	12.5
Ιούλιος 2010	4,426.5	624.2	3,312.9	12.4	4,379.5	638.1	3,346.0	12.7
Αύγουστος 2010	4,382.1	627.6	3,347.0	12.5	4,345.7	648.2	3,362.9	13.0
Σεπτέμβριος 2010	4,351.3	643.7	3,354.9	12.9	4,334.1	669.6	3,346.2	13.4
Οκτώβριος 2010	4,338.3	703.7	3,300.8	14.0	4,309.7	694.2	3,339.1	13.9
Νοέμβριος 2010	4,268.3	707.8	3,360.0	14.2	4,277.3	711.1	3,347.9	14.3
Δεκέμβριος 2010	4,193.8	750.7	3,385.5	15.2	4,253.2	730.7	3,345.7	14.7
Ιανουάριος 2011	4,214.1	772.0	3,337.9	15.5	4,237.1	748.9	3,338.6	15.0
Φεβρουάριος 2011	4,123.1	798.6	3,399.5	16.2	4,173.4	767.5	3,380.1	15.5
Μάρτιος 2011	4,126.0	828.3	3,363.8	16.7	4,160.9	796.4	3,360.3	16.1
Απρίλιος 2011	4,140.0	805.0	3,369.2	16.3	4,146.2	811.6	3,356.8	16.4
Μάιος 2011	4,087.2	833.8	3,390.4	16.9	4,056.7	833.5	3,420.7	17.0
Ιούνιος 2011	4,113.7	808.0	3,386.1	16.4	4,085.9	848.9	3,373.2	17.2
Ιούλιος 2011	4,098.4	841.7	3,363.9	17.0	4,039.4	872.0	3,393.4	17.8
Αύγουστος 2011	3,990.3	929.1	3,383.0	18.9	3,980.5	914.7	3,406.1	18.7
